type,formal,informal
exact,بدهی,قرض
exact,پس‌انداز,سیوینگ
exact,سرمایه‌گذاری,اینویست
exact,بورس,بازار سهام
exact,ارز,پول خارجی
exact,دلار,پول آمریکایی
exact,یورو,پول اروپا
exact,ریال,پول ایران
exact,تومان,پول ایران
exact,سکه,سکه طلا
exact,طلا,زر
exact,نقره,سیلور
exact,الماس,دیاموند
exact,جواهر,جواهرات
exact,گردنبند,گردنبنده
exact,دستبند,بند دست
exact,انگشتر,حلقه
exact,گوشواره,گوشواره‌ها
regex,\bخواهم\b,می‌خوام
regex,\bخواهی\b,می‌خوای
regex,\bخواهد\b,می‌خواد
regex,\bخواهیم\b,می‌خوایم
regex,\bخواهید\b,می‌خواین
regex,\bخواهند\b,می‌خوان
regex,\bتوانم\b,بتونم
regex,\bتوانی\b,بتونی
regex,\bتواند\b,بتونه
regex,\bتوانیم\b,بتونیم
regex,\bتوانید\b,بتونین
regex,\bتوانند\b,بتونن
regex,\bندارم\b,ندارم
regex,\bنداری\b,نداری
regex,\bندارد\b,نداره
regex,\bنداریم\b,نداریم
regex,\bندارید\b,ندارین
regex,\bندارند\b,ندارن
regex,\bدارم\b,دارم
regex,\bداری\b,داری
regex,\bدارد\b,داره
regex,\bداریم\b,داریم
regex,\bدارید\b,دارین
regex,\bدارند\b,دارن
regex,\bمی‌دهم\b,می‌دم
regex,\bمی‌دهی\b,می‌دی
regex,\bمی‌دهد\b,می‌ده
regex,\bمی‌دهیم\b,می‌دیم
regex,\bمی‌دهید\b,می‌دین
regex,\bمی‌دهند\b,می‌دن
exact,مدیر,رئیس
exact,مدیرعامل,رئیس شرکت
exact,کارمند,همکار
exact,کارفرما,رئیس
exact,کارگر,عمله
exact,پزشک,دکتر
exact,پرستار,نرس
exact,مهندس,انجینیر
exact,معلم,آموزگار
exact,استاد,پروفسور
exact,دانش‌آموز,شاگرد
exact,دانشجو,دانشجُو
exact,بیمار,مریض
exact,مشتری,کلاینت
exact,مسافر,یارو
exact,راننده,شوفر
exact,فروشنده,سیلزمن
exact,خریدار,کلاینت
exact,نماینده,وکیل
exact,سیاستمدار,آدم سیاسی
exact,وزیر,وزیره
exact,رئیس جمهور,پرزیدنت
exact,پادشاه,شاه
exact,ملکه,کوئین
exact,شاهزاده,پرنس
exact,امپراتور,امپراطور
exact,سرباز,آدم نظامی
exact,فرمانده,کاپیتان
exact,پلیس راه,راهنما
exact,آتش‌نشان,آتشنشون
exact,نجار,کار چوب
exact,آهنگر,کار آهن
exact,بنا,ساختمون‌ساز
exact,لوله‌کش,کار لوله
exact,برق‌کار,کار برق
exact,نقاش ساختمان,رنگ‌زن
exact,راننده تاکسی,تاکسی‌ران
exact,راننده اتوبوس,اتوبوس‌ران
exact,راننده کامیون,کامیون‌ران
exact,مکانیک,تعمیرکار ماشین
exact,خلبان,پایلوت
exact,مهماندار,مهمون‌دار
exact,کشاورز,دهقان
exact,باغبان,باغ‌دار
exact,ماهیگیر,صیاد
exact,قصاب,گوشت‌فروش
exact,نانوای,نان‌پز
exact,آشپز,شف
exact,شیرینی‌پز,قناد
exact,پیک موتوری,پیک
exact,پیک,پیک موتوری
exact,پستچی,پست‌بر
exact,هنرمند,آرتیست
exact,نقاش,پینتر
exact,مجسمه‌ساز,اسکالپتر
exact,موسیقی‌دان,موزیسین
exact,خواننده,سینگِر
exact,بازیگر,اکتور
exact,کارگردان,دایرکتور
exact,تهیه‌کننده,پرودوسر
exact,نویسنده,رایتر
exact,شاعر,پوئت
exact,خبرنگار,ژورنالیست
exact,عکاس,فتوگرافر
exact,طراح,دیزاینر
exact,مدل,مدلینگ
exact,ورزشکار,اسپرت‌من
exact,فوتبالیست,بازیکن فوتبال
exact,بسکتبالیست,بازیکن بسکتبال
exact,والیبال‌باز,بازیکن والیبال
exact,تنیس‌باز,بازیکن تنیس
exact,بوکسور,بوکس‌باز
exact,کشتی‌گیر,رِسلر
exact,دوچرخه‌سوار,بایک‌رایدر
exact,راننده مسابقه,ریسینگ‌درایور
exact,شناگر,سویمر
exact,دوند,رانِر
exact,کوهنورد,کلیمبر
exact,اسکی‌باز,اسکی‌کننده
exact,مربی,کوچ
exact,داور,رفری
exact,طرفدار,فن
exact,هوادار,فن
exact,تماشاگر,آدینس
exact,مهمان,گِست
exact,میزبان,هاست
exact,دوست,رفیق
exact,رفیق,داداش
exact,آشنا,آشناها
exact,همسایه,همسایه‌ها
exact,خانواده,فامیلا
exact,پدر,بابا
exact,مادر,مامان
exact,برادر,داداش
exact,خواهر,آبجی
exact,عمو,عمو جون
exact,عمه,عمه جون
exact,دایی,دای جون
exact,خاله,خاله جون
exact,پسرعمو,پسر عمو
exact,پسرعمه,پسر عمه
exact,پسرخاله,پسر خاله
exact,پسر دایی,پسر دایی
exact,دخترعمو,دختر عمو
exact,دخترعمه,دختر عمه
exact,دخترخاله,دختر خاله
exact,دختر دایی,دختر دایی
regex,\bرفته ام\b,رفتم
regex,\bرفته ای\b,رفتی
regex,\bرفته است\b,رفته
regex,\bرفته ایم\b,رفتیم
regex,\bرفته اید\b,رفتین
regex,\bرفته اند\b,رفتن
regex,\bخورده ام\b,خوردم
regex,\bخورده ای\b,خوردی
regex,\bخورده است\b,خورده
regex,\bخورده ایم\b,خوردیم
regex,\bخورده اید\b,خوردین
regex,\bخورده اند\b,خوردن
regex,\bآمده ام\b,اومدم
regex,\bآمده ای\b,اومدی
regex,\bآمده است\b,اومده
regex,\bآمده ایم\b,اومدیم
regex,\bآمده اید\b,اومدین
regex,\bآمده اند\b,اومدن
regex,\bگفته ام\b,گفتم
regex,\bگفته ای\b,گفتی
regex,\bگفته است\b,گفته
regex,\bگفته ایم\b,گفتیم
regex,\bگفته اید\b,گفتین
regex,\bگفته اند\b,گفتن
regex,\bدیده ام\b,دیدم
regex,\bدیده ای\b,دیدی
regex,\bدیده است\b,دیده
regex,\bدیده ایم\b,دیدیم
regex,\bدیده اید\b,دیدین
regex,\bدیده اند\b,دیدن
regex,\bشنیده ام\b,شنیدم
regex,\bشنیده ای\b,شنیدی
regex,\bشنیده است\b,شنیده
regex,\bشنیده ایم\b,شنیدیم
regex,\bشنیده اید\b,شنیدین
regex,\bشنیده اند\b,شنیدن
regex,\bرفته بودم\b,رفته بودم
regex,\bرفته بودی\b,رفته بودی
regex,\bرفته بود\b,رفته بود
regex,\bرفته بودیم\b,رفته بودیم
regex,\bرفته بودید\b,رفته بودید
regex,\bرفته بودند\b,رفته بودن
regex,\bخورده بودم\b,خورده بودم
regex,\bخورده بودی\b,خورده بودی
regex,\bخورده بود\b,خورده بود
regex,\bخورده بودیم\b,خورده بودیم
regex,\bخورده بودید\b,خورده بودید
regex,\bخورده بودند\b,خورده بودن
exact,صبح بخیر,صبح به‌خیر
exact,عصر بخیر,عصر به‌خیر
exact,شب بخیر,شب‌به‌خیر
exact,خداحافظ,بای
exact,خدانگهدار,بای
exact,تا بعد,فعلاً
exact,بعداً می‌بینمت,فعلاً
exact,مراقب خودت باش,مواظب باش
exact,موفق باشی,به امید موفقیت
exact,تولدت مبارک,هپی برث‌دی
exact,سال نو مبارک,هپی نیو یر
exact,عیدت مبارک,عیدت مبارک داداش
exact,روز خوبی داشته باش,روزت قشنگ
exact,آخر هفته خوبی داشته باش,ویکند خوبی داشته باش
exact,خسته نباشید,مرسی
exact,دست شما درد نکند,مرسی
exact,لطف کردی,مرسی
exact,خواهش می‌کنم,قابلی نداشت
exact,بفرمایید,بفرما
exact,بفرمای,بیا
exact,بشینید,بشین
exact,بنشینید,بشین
exact,بایستید,بایست
exact,بلند شوید,بلند شو
exact,شروع کنید,شروع کن
exact,تمام کنید,تموم کن
exact,منتظر بمانید,صبر کن
exact,نگران نباشید,نگران نباش
exact,عجله نکنید,عجله نکن
exact,ساکت باشید,ساکت باش
exact,گوش دهید,گوش کن
exact,ببینید,ببین
exact,نگاه کنید,نگاه کن
exact,بخوانید,بخون
exact,بخورید,بخور
exact,بیاورید,بیار
exact,ببرید,ببر
exact,بگذارید,بذار
exact,بگذار,بذار
exact,بدهید,بده
exact,بده,بده
exact,بگیرید,بگیر
exact,بگیر,بگیر
exact,بپوشید,بپوش
exact,بردارید,بردار
exact,بشویید,بشور
exact,بشورید,بشور
exact,بروید,برو
exact,بیایید,بیا
exact,بیا,بیا
exact,بفرستید,بفرست
exact,بفرست,بفرست
exact,بخرید,بخر
exact,بخر,بخر
exact,برگردید,برگرد
exact,برگرد,برگرد
exact,بپرسید,بپرس
exact,بپرس,بپرس
exact,به یاد داشته باشید,یادت باشه
exact,یادتان باشد,یادت باشه
exact,به یاد بیاورید,یادت بیار
exact,یاد بیاورید,یادت بیار
exact,یاد بگیرید,یاد بگیر
exact,یاد بدهید,یاد بده
exact,یاد بده,یاد بده
exact,حفظ کنید,حفظ کن
exact,به خاطر بسپارید,یادت بمونه
exact,فراموش نکنید,یادت نره
exact,یادت نره,یادت نره
exact,به موقع,سر وقت
exact,سر وقت,به موقع
exact,همین الان,الان
exact,همین حالا,الان
exact,این لحظه,الان
exact,فوری,همین الان
exact,بی‌درنگ,همین الان
exact,سریع,زود
exact,به سرعت,زود
exact,هر چه زودتر,زودتر
exact,هرچه سریعتر,زودتر
exact,فوری اقدام کنید,زود بجنب
exact,عجله کنید,زود باش
exact,زود باشید,زود باش
exact,زود بیایید,زود بیا
exact,زود بروید,زود برو
exact,به محض این که,همین که
exact,وقتی که,وقتی
exact,همانطور که,همونطور که
exact,چنانکه,همونطور که
exact,هر گاه,هر وقت
exact,هر وقت,وقتی
exact,هر زمان,هر وقت
exact,گاهی,بعضی وقتا
exact,اغلب,بیشتر وقتا
exact,بیشتر اوقات,بیشتر وقتا
exact,بیشتر مواقع,بیشتر وقتا
exact,کمتر اوقات,کم پیش میاد
exact,بسیاری اوقات,خیلی وقتا
exact,در بیشتر مواقع,اکثر وقتا
exact,به ندرت,کم پیش میاد
exact,شاید,احتمالاً
exact,ممکن است,شاید
exact,احتمال دارد,شاید
exact,بعید است,کم احتمال
exact,حتماً,یقیناً
exact,بدون شک,قطعاً
exact,قطعاً,حتماً
exact,یقیناً,حتماً
exact,به طور قطع,حتماً
exact,با اطمینان,مطمئناً
exact,باور کنید,باور کن
exact,باور کن,باور کن
exact,مطمئن باشید,مطمئن باش
exact,مطمئن باش,مطمئن باش
exact,در واقع,واقعاً
exact,واقعاً,راستش
exact,راستش,راستش
exact,حقیقتاً,راستش
exact,بی‌تردید,شکی نیست
exact,به یقین,قطعاً
exact,صد درصد,کاملاً
exact,کاملاً,صد درصد
exact,تماماً,همه‌ش
exact,همه چیز,همه‌چی
exact,همه کس,همه
exact,همه,همه
exact,هیچ چیز,هیچی
exact,هیچکس,هیچ‌کسی
exact,هیچ,هیچی
exact,اصلاً,هیچی
exact,به هیچ وجه,اصلاً
exact,به هیچ عنوان,اصلاً
exact,هرگز,هیچ‌وقت
exact,هیچ‌وقت,هیچ‌وقت
regex,\bنخواهم\b,نمی‌خوام
regex,\bنخواهی\b,نمی‌خوای
regex,\bنخواهد\b,نمی‌خواد
regex,\bنخواهیم\b,نمی‌خوایم
regex,\bنخواهید\b,نمی‌خواین
regex,\bنخواهند\b,نمی‌خوان
regex,\bنمی توانم\b,نمی‌تونم
regex,\bنمی توانی\b,نمی‌تونی
regex,\bنمی تواند\b,نمی‌تونه
regex,\bنمی توانیم\b,نمی‌تونیم
regex,\bنمی توانید\b,نمی‌تونین
regex,\bنمی توانند\b,نمی‌تونن
regex,\bنمی دانم\b,نمی‌دونم
regex,\bنمی دانی\b,نمی‌دونی
regex,\bنمی داند\b,نمی‌دونه
regex,\bنمی دانیم\b,نمی‌دونیم
regex,\bنمی دانید\b,نمی‌دونین
regex,\bنمی دانند\b,نمی‌دونن
regex,\bمی دانم\b,می‌دونم
regex,\bمی دانی\b,می‌دونی
regex,\bمی داند\b,می‌دونه
regex,\bمی دانیم\b,می‌دونیم
regex,\bمی دانید\b,می‌دونین
regex,\bمی دانند\b,می‌دونن
regex,\bخواسته ام\b,خواستم
regex,\bخواسته ای\b,خواستی
regex,\bخواسته است\b,خواسته
regex,\bخواسته ایم\b,خواستیم
regex,\bخواسته اید\b,خواستین
regex,\bخواسته اند\b,خواستن
regex,\bخواسته بودم\b,خواسته بودم
regex,\bخواسته بودی\b,خواسته بودی
regex,\bخواسته بود\b,خواسته بود
regex,\bخواسته بودیم\b,خواسته بودیم
regex,\bخواسته بودید\b,خواسته بودید
regex,\bخواسته بودند\b,خواسته بودن
exact,دوست دارم,حال می‌کنم
exact,دوست داری,حال می‌کنی
exact,دوست دارد,حال می‌کنه
exact,دوست داریم,حال می‌کنیم
exact,دوست دارید,حال می‌کنین
exact,دوست دارند,حال می‌کنن
exact,دوست نداشتم,حال نکردم
exact,دوست نداشتی,حال نکردی
exact,دوست نداشت,حال نکرد
exact,دوست نداشتیم,حال نکردیم
exact,دوست نداشتید,حال نکردین
exact,دوست نداشتند,حال نکردن
exact,نمی‌خواهم,نمی‌خوام
exact,نمی‌خواهی,نمی‌خوای
exact,نمی‌خواهد,نمی‌خواد
exact,نمی‌خواهیم,نمی‌خوایم
exact,نمی‌خواهید,نمی‌خواین
exact,نمی‌خواهند,نمی‌خوان
exact,خواهم,می‌خوام
exact,خواهی,می‌خوای
exact,خواهد,می‌خواد
exact,خواهیم,می‌خوایم
exact,خواهید,می‌خواین
exact,خواهند,می‌خوان
exact,می‌توانم,می‌تونم
exact,می‌توانی,می‌تونی
exact,می‌تواند,می‌تونه
exact,می‌توانیم,می‌تونیم
exact,می‌توانید,می‌تونین
exact,می‌توانند,می‌تونن
exact,توانستم,تونستم
exact,توانستی,تونستی
exact,توانست,تونست
exact,توانستیم,تونستیم
exact,توانستید,تونستین
exact,توانستند,تونستن
exact,نتوانستم,نتونستم
exact,نتوانستی,نتونستی
exact,نتوانست,نتونست
exact,نتوانستیم,نتونستیم
exact,نتوانستید,نتونستین
exact,نتوانستند,نتونستن
exact,نمی‌توانستم,نمی‌تونستم
exact,نمی‌توانستی,نمی‌تونستی
exact,نمی‌توانست,نمی‌تونست
exact,نمی‌توانستیم,نمی‌تونستیم
exact,نمی‌توانستید,نمی‌تونستین
exact,نمی‌توانستند,نمی‌تونستن
exact,باید,می‌بایست
exact,نباید,نبایست
exact,لازم است,لازمه
exact,لازم نیست,لازمی نداره
exact,ضروری است,ضروریه
exact,مهم است,مهمه
exact,مهم نیست,مهمی نداره
exact,جالب است,جالبه
exact,جالب نیست,جالبی نداره
exact,خوب است,خوبه
exact,خوب نیست,خوبی نداره
exact,بد است,بده
exact,بد نیست,بدی نداره
exact,زیبا است,قشنگه
exact,زیبا نیست,زشتی نداره
exact,عالی است,عالیه
exact,عالی نیست,عالیی نداره
exact,ساده است,ساده‌س
exact,ساده نیست,سادی نداره
exact,سخت است,سخته
exact,سخت نیست,سختی نداره
exact,آسان است,راحته
exact,آسان نیست,راحتی نداره
exact,ممکن نیست,امکانی نداره
exact,قابل قبول است,قابل قبوله
exact,قابل قبول نیست,قابل قبولی نداره
exact,قابل فهم است,قابل فهمه
exact,قابل فهم نیست,قابل فهمی نداره
exact,مشکل است,مشکله
exact,مشکل نیست,مشکلی نداره
exact,مناسب است,مناسبه
exact,مناسب نیست,مناسبی نداره
exact,ضروری نیست,ضرورتی نداره
exact,عجیب است,عجیبه
exact,عجیب نیست,عجیبی نداره
exact,عادی است,عادیه
exact,عادی نیست,عادیی نداره
exact,جدی است,جدیه
exact,جدی نیست,جدیی نداره
exact,شوخی است,شوخیه
exact,شوخی نیست,شوخیی نداره
exact,واقعی است,واقعیه
exact,واقعی نیست,واقعیی نداره
exact,غیرواقعی است,خیالیه
exact,غیرواقعی نیست,خیالیی نداره
exact,خیالی است,خیالیه
exact,خیالی نیست,خیالیی نداره
exact,بی‌اهمیت است,بی‌اهمیته
exact,بی‌اهمیت نیست,بی‌اهمیتی نداره
exact,ضروری بود,لازم بود
exact,ضروری نبود,لازم نبود
exact,مهم بود,مهم بود
exact,مهم نبود,مهم نبود
exact,لازم بود,لازم بود
exact,لازم نبود,لازم نبود
exact,عالی بود,عالی بود
exact,عالی نبود,عالی نبود
exact,خوب بود,خوب بود
exact,خوب نبود,خوب نبود
exact,بد بود,بد بود
exact,بد نبود,بد نبود
exact,ساده بود,ساده بود
exact,ساده نبود,ساده نبود
exact,سخت بود,سخت بود
exact,سخت نبود,سخت نبود
exact,آسان بود,راحت بود
exact,آسان نبود,راحت نبود
exact,ممکن بود,امکان داشت
exact,ممکن نبود,امکان نداشت
exact,ضروری خواهد بود,لازم میشه
exact,ضروری نخواهد بود,لازم نمیشه
exact,لازم خواهد بود,لازم میشه
exact,لازم نخواهد بود,لازم نمیشه
exact,مهم خواهد بود,مهم میشه
exact,مهم نخواهد بود,مهم نمیشه
exact,عالی خواهد بود,عالی میشه
exact,عالی نخواهد بود,عالی نمیشه
exact,خوب خواهد بود,خوب میشه
exact,خوب نخواهد بود,خوب نمیشه
exact,بد خواهد بود,بد میشه
exact,بد نخواهد بود,بد نمیشه
exact,ساده خواهد بود,ساده میشه
exact,ساده نخواهد بود,ساده نمیشه
exact,سخت خواهد بود,سخت میشه
exact,سخت نخواهد بود,سخت نمیشه
exact,آسان خواهد بود,راحت میشه
exact,آسان نخواهد بود,راحت نمیشه
regex,\bخواهم بود\b,می‌باشم
regex,\bخواهی بود\b,می‌باشی
regex,\bخواهد بود\b,می‌باشد
regex,\bخواهیم بود\b,می‌باشیم
regex,\bخواهید بود\b,می‌باشید
regex,\bخواهند بود\b,می‌باشند
regex,\bنخواهم بود\b,نمی‌باشم
regex,\bنخواهی بود\b,نمی‌باشی
regex,\bنخواهد بود\b,نمی‌باشد
regex,\bنخواهیم بود\b,نمی‌باشیم
regex,\bنخواهید بود\b,نمی‌باشید
regex,\bنخواهند بود\b,نمی‌باشند
regex,\bباشد\b,باشه
regex,\bباشید\b,باشین
regex,\bباشیم\b,باشیم
regex,\bباشند\b,باشن
regex,\bباشم\b,باشم
regex,\bباشی\b,باشی
regex,\bنباشد\b,نباشه
regex,\bنباشید\b,نباشین
regex,\bنباشیم\b,نباشیم
regex,\bنباشند\b,نباشن
regex,\bنباشم\b,نباشم
regex,\bنباشی\b,نباشی
regex,\bبود\b,بود
regex,\bبودم\b,بودم
regex,\bبودی\b,بودی
regex,\bبودید\b,بودین
regex,\bبودیم\b,بودیم
regex,\bبودند\b,بودن
regex,\bنبود\b,نبود
regex,\bنبودم\b,نبودم
regex,\bنبودی\b,نبودی
regex,\bنبودید\b,نبودین
regex,\bنبودیم\b,نبودیم
regex,\bنبودند\b,نبودن
exact,می‌باشد,هست
exact,نمی‌باشد,نیست
exact,می باشد,هست
exact,نمی باشد,نیست
exact,می‌خواهم,می‌خوام
exact,می‌خواهی,می‌خوای
exact,می‌خواهد,می‌خواد
exact,می‌توانم,می‌تونم
exact,نمی‌توانم,نمی‌تونم
exact,نمی‌خواهم,نمی‌خوام
exact,نمی‌خواهی,نمی‌خوای
exact,هستم,ـم
exact,هستید,ـی
exact,هستند,ـن
exact,است,ـه
exact,خواهد بود,میشه
exact,نمی‌دانم,نمی‌دونم
exact,نمی‌دانید,نمی‌دونین
exact,شما,تو
exact,آن,اون
exact,این,این
exact,بنابراین,پس
exact,زیرا,چون
exact,اما,ولی
exact,سپس,بعدش
exact,بسیار,خیلی
exact,لطفاً,لطفا
regex,\bمی توان(?:ید|م)\b,می‌تونم
regex,\bنمی توان(?:ید|م)\b,نمی‌تونم
regex,\bخواه(?:م|ید)\b,می‌خوایم
regex,\bدوست دارم\b,حال می‌کنم
regex,\bلطفا\b,خواهش می‌کنم
regex,\bبیایید\b,بیاین
regex,\bکجا هست\b,کجاست
regex,\bچگونه\b,چطوری
regex,\bچه کار می کنی\b,چیکار می‌کنی
exact,می‌روم,میرم
exact,می‌روی,میری
exact,می‌رود,میره
exact,می‌رویم,میریم
exact,می‌روید,میرین
exact,می‌روند,میرن
exact,رفتم,رفتم
exact,رفته‌ام,رفتم
exact,رفته‌ای,رفتی
exact,رفته‌ایم,رفتیم
exact,رفته‌اید,رفتین
exact,رفته‌اند,رفتن
exact,نرفته‌ام,نرفتم
exact,نرفته‌ای,نرفتی
exact,نرفته‌ایم,نرفتیم
exact,نرفته‌اید,نرفتین
exact,نرفته‌اند,نرفتن
exact,خواهی رفت,می‌خوای بری
exact,خواهم رفت,می‌خوام برم
exact,خواهد رفت,می‌خواد بره
exact,خواهیم رفت,می‌خوایم بریم
exact,خواهید رفت,می‌خواین برین
exact,خواهند رفت,می‌خوان برن
regex,\bمن می‌روم\b,من میرم
regex,\bتو می‌روی\b,تو میری
regex,\bاو می‌رود\b,اون میره
regex,\bما می‌رویم\b,ما میریم
regex,\bشما می‌روید\b,شما میرین
regex,\bآنها می‌روند\b,اونها میرَن
exact,نمی‌دانم,نمی‌دونم
exact,نمی‌دانی,نمی‌دونی
exact,نمی‌داند,نمی‌دونه
exact,نمی‌دانیم,نمی‌دونیم
exact,نمی‌دانید,نمی‌دونین
exact,نمی‌دانند,نمی‌دونن
exact,دارم,دارم
exact,داری,داری
exact,دارد,داره
exact,داریم,داریم
exact,دارید,دارین
exact,دارند,دارَن
regex,\bمن دارم\b,من دارم
regex,\bتو داری\b,تو داری
regex,\bاو دارد\b,اون داره
regex,\bما داریم\b,ما داریم
regex,\bشما دارید\b,شما دارین
regex,\bآنها دارند\b,اونها دارَن
exact,باید بروم,باید برم
exact,نباید بروی,نباید بری
exact,باید برود,باید بره
exact,نباید برود,نباید بره
exact,باید برویم,باید بریم
exact,نباید برویم,نباید بریم
exact,باید بروید,باید برین
exact,نباید بروید,نباید برین
exact,باید بروند,باید برن
exact,نباید بروند,نباید برن
exact,دیشب,شب قبل
exact,امروز,امروزی
exact,فردا,فردا
exact,پس‌فردا,پس‌فردا
exact,دیروز,دیروز
exact,امشب,امشب
regex,\bکجا می‌روی\b,کجا میری
regex,\bکجا می‌رود\b,کجا میره
regex,\bچگونه\b,چطوری
regex,\bچه کار می‌کنی\b,چیکار می‌کنی
regex,\bچه کسی\b,کی
regex,\bکی\b,کی
regex,\bچرا\b,چرا
regex,\bچه\b,چی
exact,مطمئن نیستم,مطمئن نیستم
exact,مطمئنم,مطمئنم
exact,مطمئن نیستی,مطمئنی نیستی
exact,مطمئنی,مطمئنی
exact,مطمئن نیست,مطمئنی نیست
exact,مطمئنین,مطمئنین
exact,می‌دانم,می‌دونم
exact,می‌دانی,می‌دونی
