formal,informal
راحت باشید,راحت باش
راضی نیستم,راضی نیستم
رسیدگی کنید,رسیدگی کن
روشن است,روشنه
زیباست,قشنگه
سالم است,سالمه
سفارش دهید,سفارش بدید
سوال دارید,سوالی داری؟
سیاه است,سیاهه
شایسته است,می‌ارزه
شکست خورد,باخت
صادقانه است,راستش
ضروری است,واجبه
طبیعی است,طبیعیه
عاقلانه است,عاقلانه‌ست
عجیب است,عجیبه
فرو ریخت,ریخت
فوری است,فوریه
قابل مشاهده است,دیده میشه
قدرتمند است,قویه
قطع شده,قطع شده
کافی است,کافیه
کاملاً,کاملا
کاهش دهید,کمتر کن
کمک می‌کنید,کمک می‌کنی؟
کوچک است,کوچیکه
گران قیمت است,گرونه
گم شده,گم شده
لازم است,باید
لذت بخش است,خوشمزه‌ست
مؤثر است,تأثیر داره
متأسفم,ببخشید
مشکل دارید,مشکلی داری؟
معتبر است,معتبره
مفید است,به درد میخوره
مقایسه کنید,مقایسه کن
منتظر هستم,منتظرم
موافق هستید,موافقی؟
می‌خندد,می‌خنده
می‌رسد,می‌رسه
می‌شکند,می‌شکنه
می‌فروشد,می‌فروشه
می‌گویند,میگن
ناراحت کننده است,ناراحت‌کنندس
نتیجه گرفت,نتیجه گرفت
نظرم را تغییر داد,نظرم عوض شد
نگران نباشید,نگران نباش
نمایش دهید,نشون بدید
نوشته شده,نوشته شده
هماهنگ کنید,هماهنگ کن
همیشه,همیشگی
هوشیار باشید,هوشیار باش
ویرایش کنید,ادیت کن
پاسخ داد,جواب داد
پایان دهید,تموم کن
پرداخت شد,پرداخت شد
پشتیبانی می‌کنید,پشتیبانی می‌کنی؟
پنهان است,قایمه
پیشنهاد می‌کنم,پیشنهاد میدم
چالش برانگیز است,سخته
چرا که,چون که
کامپیوتر,کامپیوتر
کتابخانه,کتابخونه
گفتگو کنید,حرف بزنید
مهمان,مهمون
نور,نور
هوا,هوا
پول,پول
تلویزیون,تلویزیون
رادیو,رادیو
مدرسه,مدرسه
دانشگاه,دانشگاه
بیمارستان,بیمارستان
فروشگاه,فروشگاه
رستوران,رستوران
پارک,پارک
سینما,سینما
تئاتر,تئاتر
موزه,موزه
فرودگاه,فرودگاه
ایستگاه,ایستگاه
بانک,بانک
پلیس,پلیس
آتش نشانی,آتش نشانی
داروخانه,داروخانه
سوپرمارکت,سوپرمارکت
نانوایی,نانوایی
آبمیوه گیری,آبمیوه گیری
آرایشگاه,آرایشگاه
خشکشویی,خشکشویی
تعمیرگاه,تعمیرگاه
بوتیک,بوتیک
ساحل,ساحل
کوه,کوه
جنگل,جنگل
بیابان,بیابان
رودخانه,رودخونه
دریاچه,دریاچه
جزیره,جزیره
شهر,شهر
روستا,روستا
خیابان اصلی,خیابون اصلی
کوچه,کوچه
پل,پل
تونل,تونل
پارکینگ,پارکینگ
ترمینال,ترمینال
مترو,مترو
اتوبوس,اتوبوس
تاکسی,تاکسی
قطار,قطار
هواپیما,هواپیما
کشتی,کشتی
دوچرخه,دوچرخه
موتورسیکلت,موتور
ماشین,ماشین
کامیون,کامیون
ون,ون
مینی بوس,مینی بوس
آمبولانس,آمبولانس
ماشین آتش نشانی,ماشین آتش نشانی
ماشین پلیس,ماشین پلیس
تاکسی تلفنی,تاکسی تلفنی
پیک موتوری,پیک موتوری
راهنما,راهنما
تابلو,تابلو
چراغ راهنما,چراغ راهنما
عابر پیاده,عابر پیاده
پیاده رو,پیاده رو
پل عابر پیاده,پل عابر
زیرگذر,زیرگذر
روگذر,روگذر
بلیط,بلیط
کارت,کارت
پاسپورت,پاسپورت
ویزا,ویزا
شناسنامه,شناسنامه
کارت ملی,کارت ملی
گواهینامه,گواهینامه
قرارداد,قرارداد
فاکتور,فاکتور
رسید,رسید
حساب,حساب
پول نقد,پول نقد
کارت اعتباری,کارت اعتباری
چک,چک
سفته,سفته
برات,برات
حواله,حواله
صرافی,صرافی
نرخ ارز,نرخ ارز
دلار,دلار
یورو,یورو
پوند,پوند
ین,ین
ریال,ریال
تومان,تومان
سکه,سکه
اسکناس,اسکناس
کیف پول,کیف پول
دستگاه خودپرداز,عابر بانک
رمز,رمز
پین,پین
کارتخوان,کارتخوان
تراکنش,تراکنش
برداشت,برداشت
واریز,واریز
انتقال,انتقال
موجودی,موجودی
صورتحساب,صورتحساب
بدهکار,بدهکار
بستانکار,بستانکار
سود,سود
بهره,بهره
وام,وام
قسط,قسط
بیمه,بیمه
حقوق,حقوق
دستمزد,دستمزد
پاداش,پاداش
جریمه,جریمه
مالیات,مالیات
عیدی,عیدی
پاداش,پاداش
حق کمیسیون,حق کمیسیون
حق بیمه,حق بیمه
حقوق بازنشستگی,حقوق بازنشستگی
مستمری,مستمری
کمک هزینه,کمک هزینه
کمک مالی,کمک مالی
هدیه,هدیه
پیشکش,پیشکش
تحفه,تحفه
نذری,نذری
صدقه,صدقه
زکات,زکات
خیریه,خیریه
وقف,وقف
مشارکت,مشارکت
سرمایه گذاری,سرمایه گذاری
سهام,سهام
اوراق بهادار,اوراق بهادار
بازار سرمایه,بازار سرمایه
بورس,بورس
شاخص,شاخص
سود سهام,سود سهام
افزایش سرمایه,افزایش سرمایه
تجزیه سهام,تجزیه سهام
ادغام,ادغام
تملیک,تملیک
اجاره,اجاره
رهن,رهن
قرض,قرض
ضمانت,ضمانت
نشست,نشست
جلسه,جلسه
کنفرانس,کنفرانس
سمینار,سمینار
کارگاه,کارگاه
دوره آموزشی,دوره آموزشی
کلاس,کلاس
درس,درس
مدرک,مدرک
گواهی,گواهی
تخصص,تخصص
مهارت,مهارت
تجربه,تجربه
شغل,شغل
کار,کار
پیشه,پیشه
حرفه,حرفه
تخصص,تخصص
مهارت,مهارت
استعداد,استعداد
خلاقیت,خلاقیت
نوآوری,نوآوری
اختراع,اختراع
اکتشاف,اکتشاف
پژوهش,پژوهش
تحقیق,تحقیق
تفحص,تفحص
بررسی,بررسی
مطالعه,مطالعه
مشاهده,مشاهده
آزمایش,آزمایش
تجربه,تجربه
خطا,خطا
اشتباه,اشتباه
صواب,صواب
درست,درست
غلط,غلط
حقیقت,حقیقت
واقعیت,واقعیت
خیال,خیال
رویا,رویا
آرزو,آرزو
هدف,هدف
آرمان,آرمان
ایده,ایده
فکر,فکر
اندیشه,اندیشه
نظر,نظر
عقیده,عقیده
باور,باور
اعتقاد,اعتقاد
شک,شک
تردید,تردید
یقین,یقین
اطمینان,اطمینان
اعتماد,اعتماد
اطمینان,اطمینان
امید,امید
نومیدی,نومیدی
یأس,یأس
نگرانی,نگرانی
اضطراب,اضطراب
استرس,استرس
ترس,ترس
وحشت,وحشت
هراس,هراس
شجاعت,شجاعت
جرأت,جرأت
جسارت,جسارت
تردید,تردید
شهامت,شهامت
پشتکار,پشتکار
تلاش,تلاش
کوشش,کوشش
سعی,سعی
ممارست,ممارست
تمرین,تمرین
تکرار,تکرار
ممارست,ممارست
تجربه,تجربه
مهارت,مهارت
چیرگی,چیرگی
تسلط,تسلط
تبحر,تبحر
استادی,استادی
حرفه‌ای بودن,حرفه‌ای بودن
کاربلد بودن,کاربلد بودن
ماهر بودن,ماهر بودن
چیره دست بودن,چیره دست بودن
زبردست بودن,زبردست بودن
استاد بودن,استاد بودن
حرفه‌ای,حرفه‌ای
کاربلد,کاربلد
ماهر,ماهر
چیره دست,چیره دست
زبردست,زبردست
استاد,استاد
متخصص,متخصص
حرفه‌ای,حرفه‌ای
کارشناس,کارشناس
صاحب نظر,صاحب نظر
آگاه,آگاه
مطلع,مطلع
باسواد,باسواد
دانشمند,دانشمند
عالم,عالم
فاضل,فاضل
فیلسوف,فیلسوف
اندیشمند,اندیشمند
خردمند,خردمند
حکیم,حکیم
عاقل,عاقل
خردورز,خردورز
منطقی,منطقی
عقلانی,عقلانی
مدبر,مدبر
دوراندیش,دوراندیش
آینده نگر,آینده نگر
بینا,بینا
تیزبین,تیزبین
هوشیار,هوشیار
زیرک,زیرک
باهوش,باهوش
نابغه,نابغه
نبوغ,نبوغ
استعداد,استعداد
خلاق,خلاق
مبتکر,مبتکر
نوآور,نوآور
پیشرو,پیشرو
پیشگام,پیشگام
مترقی,مترقی
توسعه گرا,توسعه گرا
پویا,پویا
فعال,فعال
پرتحرک,پرتحرک
چالاک,چالاک
چابک,چابک
سریع,سریع
تیز,تیز
چست,چست
فرز,فرز
پرانرژی,پرانرژی
پرتوان,پرتوان
قوی,قوی
توانا,توانا
مقتدر,مقتدر
پرزور,پرزور
تنومند,تنومند
ورزیده,ورزیده
عضلانی,عضلانی
قوی هیکل,قوی هیکل
درشت اندام,درشت اندام
تنومند,تنومند
پهلوان,پهلوان
پهلوانی,پهلوانی
زورمند,زورمند
قدرتمند,قدرتمند
پرنیرو,پرنیرو
پرتوان,پرتوان
پرطاقت,پرطاقت
پرتحمل,پرتحمل
صبور,صبور
شکیبا,شکیبا
بردبار,بردبار
پایدار,پایدار
ثابت قدم,ثابت قدم
استوار,استوار
پابرجا,پابرجا
محکم,محکم
استوار,استوار
ثابت,ثابت
پایدار,پایدار
ماندگار,ماندگار
جاویدان,جاویدان
ابدی,ابدی
همیشگی,همیشگی
دائمی,دائمی
ثابت,ثابت
پایدار,پایدار
مستحکم,مستحکم
محکم,محکم
استوار,استوار
قوی,قوی
مستحکم,مستحکم
پایدار,پایدار
ثابت,ثابت
ماندگار,ماندگار
جاویدان,جاویدان
ابدی,ابدی
همیشگی,همیشگی
دائمی,دائمی
ثابت,ثابت
پایدار,پایدار
مستحکم,مستحکم
محکم,محکم
استوار,استوار
قوی,قوی
مستحکم,مستحکم
پایدار,پایدار
ثابت,ثابت
ماندگار,ماندگار
جاویدان,جاویدان
ابدی,ابدی
همیشگی,همیشگی
دائمی,دائمی
آیا قصد دارید امروز به ما ملحق شوید؟,میای امروز پیشمون؟
این مسئله نیاز به بررسی دقیق تری دارد,این موضوعو باید بهتر چک کنیم
لطفاً در اسرع وقت پاسخ دهید,زود جواب بدین
می‌توانم پیشنهاد بهتری ارائه دهم,می‌تونم یه پیشنهاد بهتر بدم
این طرح کاملاً قابل اجراست,این طرح رو میشه راحت انجام داد
آیا مایل به همکاری هستید؟,دوست داری همکاری کنیم؟
این محصول ویژگی‌های منحصر به فردی دارد,این محصول چیزای خاصی داره
لطفاً این فرم را با دقت پر کنید,لطفاً این فرمو با دقت پر کن
می‌خواهم در جریان آخرین اخبار قرار بگیرم,می‌خوام از اخبار جدید باخبر باشم
این روش بسیار کارآمد است,این روش خیلی خوب جواب میده
آیا می‌توانم کمکی به شما بکنم؟,می‌تونم کمکت کنم؟
این تصمیم نیاز به تامل بیشتری دارد,این تصمیمو باید بیشتر فکر کرد
لطفاً در حفظ آرامش بکوشید,لطفاً آروم باش
می‌توانیم این مشکل را حل کنیم,می‌تونیم این مشکل رو حل کنیم
این موضوع از اهمیت ویژه‌ای برخوردار است,این موضوع خیلی مهمه
آیا می‌دانید چگونه این کار را انجام دهیم؟,می‌دونی این کارو چطوری انجام بدیم؟
این پیشنهاد بسیار جالب توجه است,این پیشنهاد خیلی جالبه
لطفاً از این دستگاه با احتیاط استفاده کنید,لطفاً با دقت از این دستگاه استفاده کن
می‌خواهم نظر شما را بدانم,می‌خوام نظرتو بدونم
این روش قدیمی دیگر کارایی ندارد,این روش دیگه جواب نمیده
آیا می‌توانید این متن را ترجمه کنید؟,می‌تونی این متنو ترجمه کنی؟
این برنامه نیاز به به‌روزرسانی دارد,این برنامه رو باید آپدیت کرد
لطفاً این مطلب را برای من توضیح دهید,لطفاً اینو برام توضیح بده
می‌توانیم فردا این کار را انجام دهیم,می‌تونیم فردا این کارو بکنیم
این ایده بسیار خلاقانه است,این ایده خیلی باحاله
آیا امکان تغییر این قرارداد وجود دارد؟,میشه این قراردادو عوض کرد؟
این سیستم بسیار پیچیده است,این سیستم خیلی پیچیدست
لطفاً این موارد را یادداشت کنید,لطفاً اینارو یادداشت کن
می‌خواهم در این پروژه مشارکت کنم,می‌خوام تو این پروژه کمک کنم
این مشکل به راحتی قابل حل است,این مشکل رو میشه راحت حل کرد
آیا می‌توانید این مسئله را پیگیری کنید؟,می‌تونی این موضوعو پیگیری کنی؟
این محصول در بازار بسیار پرطرفدار است,این محصول تو بازار خیلی پره
لطفاً این اطلاعات را محرمانه نگه دارید,لطفاً این اطلاعاتو پیش خودت نگه دار
می‌توانیم راه‌حل بهتری پیدا کنیم,می‌تونیم راه بهتری پیدا کنیم
این روش بسیار زمان‌بر است,این روش خیلی وقت می‌گیره
آیا می‌دانید این فرد کیست؟,می‌دونی این کیه؟
این تصمیم بر عهده شماست,این تصمیم با خودته
لطفاً این مبلغ را به حساب من واریز کنید,لطفاً این پولو به حسابم واریز کن
می‌خواهم این موضوع را با مدیر در میان بگذارم,می‌خوام اینو با مدیر مطرح کنم
این کار اصلاً حرفه‌ای نبود,این کار اصلاً درست نبود
آیا می‌توانید این فایل را برای من بفرستید؟,می‌تونی این فایلو برام بفرستی؟
این روش بسیار پر هزینه است,این روش خیلی گرون تموم میشه
لطفاً این شماره را یادداشت کنید,لطفاً این شماره رو بنویس
می‌توانیم در این مورد توافق کنیم,می‌تونیم راجع به این به توافق برسیم
این پیشنهاد واقعاً وسوسه‌انگیز است,این پیشنهاد واقعاً دلبرندست
آیا می‌توانید این مشکل را حل کنید؟,می‌تونی این مشکل رو حل کنی؟
این موضوع نیاز به بحث بیشتری دارد,این موضوعو باید بیشتر دربارش حرف زد
لطفاً این پیام را به همکاران منتقل کنید,لطفاً این پیامو به بقیه بگو
می‌خواهم در جلسه فردا شرکت کنم,می‌خوام تو جلسه فردا باشم
این کار بسیار خطرناک است,این کار خیلی خطرناکه
آیا می‌دانید این دستگاه چگونه کار می‌کند؟,می‌دونی این دستگاه چطوری کار می‌کنه؟
این تصمیم برای همه ما مفید است,این تصمیم به نفع همه‌مونه
لطفاً این مطلب را در نظر بگیرید,لطفاً اینو در نظر داشته باش
می‌توانیم از تجربیات گذشته یاد بگیریم,می‌تونیم از تجربه‌های قبلی یاد بگیریم
این روش بسیار ابتدایی است,این روش خیلی ساده‌ست
آیا می‌توانید این مسئله را حل کنید؟,می‌تونی این مشکل رو درست کنی؟
این محصول در حال حاضر موجود نیست,این محصول الان موجود نیس
لطفاً این اطلاعات را بررسی کنید,لطفاً این اطلاعاتو چک کن
می‌خواهم این موضوع را بهتر درک کنم,می‌خوام این موضوعو بهتر بفهمم
این کار بسیار حساس است,این کار خیلی حساسه
آیا می‌دانید چرا این اتفاق افتاد؟,می‌دونی چرا این اتفاق افتاد؟
این تصمیم تأثیرات بلندمدتی خواهد داشت,این تصمیم اثرات طولانی مدتی داره
لطفاً این مبلغ را نقدی پرداخت کنید,لطفاً این پولو نقدی بده
می‌توانیم این مشکل را با هم حل کنیم,می‌تونیم با هم این مشکل رو حل کنیم
این روش بسیار کاربردی است,این روش خیلی به دردبخور هست
آیا می‌توانید این کار را به تعویق بیندازید؟,می‌تونی این کارو عقب بندازی؟
این موضوع بسیار پیچیده است,این موضوع خیلی پیچیدست
لطفاً این موارد را فراموش نکنید,لطفاً اینارو یادت نره
می‌خواهم در این زمینه بیشتر بدانم,می‌خوام بیشتر در این مورد بدونم
این کار بسیار ارزشمند است,این کار خیلی ارزشمنده
آیا می‌توانید این گزارش را آماده کنید؟,می‌تونی این گزارشو آماده کنی؟
این محصول واقعاً با کیفیت است,این محصول واقعاً خوبه
لطفاً این پیام را جدی بگیرید,لطفاً این پیامو ساده نگیر
می‌توانیم این کار را به بهترین نحو انجام دهیم,می‌تونیم این کارو عالی انجام بدیم
این روش بسیار قدیمی است,این روش خیلی قدیمیه
آیا می‌دانید این مشکل از کجا ناشی شده؟,می‌دونی این مشکل از کجاست؟
این تصمیم برای همه ما مهم است,این تصمیم برا همه‌مون مهمه
لطفاً این مطلب را با دقت بخوانید,لطفاً اینو با دقت بخون
می‌خواهم در این پروژه نقش فعالی داشته باشم,می‌خوام تو این پروژه فعال باشم
این کار بسیار تخصصی است,این کار خیلی تخصصیه
آیا می‌توانید این مسئله را حل کنید؟,می‌تونی این مشکل رو برطرف کنی؟
این محصول در بازار رقیب ندارد,این محصول تو بازار رقیب نداره
لطفاً این اطلاعات را در اختیار دیگران قرار ندهید,لطفاً این اطلاعاتو به کسی نگو
می‌توانیم این مشکل را به سرعت حل کنیم,می‌تونیم این مشکل رو سریع حل کنیم
این روش بسیار مؤثر است,این روش خیلی تأثیرگذاره
آیا می‌توانید این کار را انجام دهید؟,می‌تونی این کارو بکنی؟
این موضوع بسیار حائز اهمیت است,این موضوع خیلی مهمه
لطفاً این موارد را به خاطر بسپارید,لطفاً اینارو یادت بمونه
می‌خواهم در این زمینه پیشرفت کنم,می‌خوام تو این زمینه بهتر بشم
این کار بسیار دشوار است,این کار خیلی سخته
آیا می‌دانید چگونه این مشکل را حل کنیم؟,می‌دونی چطوری این مشکل رو حل کنیم؟
این تصمیم بر آینده ما تأثیر خواهد گذاشت,این تصمیم آینده‌مونو تغییر میده
لطفاً این مبلغ را به صورت اقساط پرداخت کنید,لطفاً این پولو قسطی بده
می‌توانیم این کار را به صورت گروهی انجام دهیم,می‌تونیم با هم این کارو انجام بدیم
این روش بسیار ابتکاری است,این روش خیلی خلاقانه‌ست
آیا می‌توانید این مسئله را پیگیری کنید؟,می‌تونی این موضوعو دنبال کنی؟
این محصول در حال حاضر در دسترس نیست,این محصول الان موجود نیس
لطفاً این اطلاعات را با دیگران به اشتراک بگذارید,لطفاً این اطلاعاتو به بقیه هم بگو
می‌خواهم در این زمینه تخصص کسب کنم,می‌خوام تو این زمینه حرفه‌ای بشم
این کار بسیار پرریسک است,این کار خیلی ریسک داره
آیا می‌دانید این اتفاق چرا رخ داد؟,می‌دونی چرا این اتفاق افتاد؟
این تصمیم نیاز به تأیید مدیریت دارد,این تصمیم باید تأیید مدیر رو بگیره
لطفاً این مطلب را با جزئیات مطالعه کنید,لطفاً اینو با دقت بخون
می‌توانیم این مشکل را به راحتی حل کنیم,می‌تونیم این مشکل رو راحت حل کنیم
این روش بسیار اقتصادی است,این روش خیلی به صرفه‌ست
آیا می‌توانید این کار را زودتر انجام دهید؟,می‌تونی این کارو زودتر انجام بدی؟
این موضوع بسیار جالب توجه است,این موضوع خیلی جالبه
لطفاً این موارد را در اولویت قرار دهید,لطفاً اینارو اولویت بدین
می‌خواهم در این زمینه اطلاعات بیشتری کسب کنم,می‌خوام بیشتر در این مورد بدونم
این کار بسیار حرفه‌ای است,این کار خیلی حرفه‌ایه
آیا می‌توانید این مشکل را برطرف کنید؟,می‌تونی این مشکل رو درست کنی؟
این محصول در بازار بسیار محبوب است,این محصول تو بازار خیلی معروفه
لطفاً این اطلاعات را در جایی امن نگه دارید,لطفاً این اطلاعاتو تو جای امنی نگه دار
می‌توانیم این کار را به بهترین شکل انجام دهیم,می‌تونیم این کارو عالی انجام بدیم
این روش بسیار مدرن است,این روش خیلی پیشرفته‌ست
آیا می‌دانید چگونه این سیستم کار می‌کند؟,می‌دونی این سیستم چطوری کار می‌کنه؟
این تصمیم بر روند کار تأثیر خواهد گذاشت,این تصمیم کارمونو تغییر میده
لطفاً این مبلغ را به صورت آنلاین پرداخت کنید,لطفاً این پولو آنلاین پرداخت کن
می‌خواهم در این پروژه همکاری کنم,می‌خوام تو این پروژه کمک کنم
این کار بسیار پیچیده است,این کار خیلی پیچیدست
آیا می‌توانید این مسئله را بررسی کنید؟,می‌تونی این موضوعو چک کنی؟
این محصول در حال حاضر تولید نمی‌شود,این محصول الان تولید نمیشه
لطفاً این اطلاعات را برای من ارسال کنید,لطفاً این اطلاعاتو برام بفرست
می‌توانیم این مشکل را به زودی حل کنیم,می‌تونیم به زودی این مشکل رو حل کنیم
این روش بسیار مفید است,این روش خیلی به درد می‌خوره
آیا می‌توانید این کار را فردا انجام دهید؟,می‌تونی این کارو فردا انجام بدی؟
این موضوع بسیار بحث‌برانگیز است,این موضوع خیلی حاشیه داره
لطفاً این موارد را به خاطر داشته باشید,لطفاً اینارو یادت باشه
